data,"label	"
Gamau vaksin bisa di penjara Dasar apa dari adanya peraturan ini Kenapa sampe badan orang segala di urusin sama,2
Vaksin yg paling manjur COVID19 VaksinKitaDatangLagi Vaksin,1
Penjara 1 Tahun dan Denda 100 Juta Menunggu Anda Jika Tolak di Suntik Vaksin markasnews vaksin COVID19,0
Tak Mengandung Babi Menteri Agama Yaqut Cholil Qoumas Imbau Umat Islam Tak Ragu Ikut Vaksin,0
Saya siap selalu Vaksin vaksincovid VaksinKitaDatangLagi,1
Vaksin Covid-19 Aman dan Halal Indonesia Vaksin Covid19 Halal,1
yang gak mau vaksin di denda duit kudunye dibalik yang MAU Vaksin di kasih duit Vaksin,2
SIAP VAKSIN vaksin siapvaksincovid19,1
Vaksinasi untuk Indonesia bebas dari pandemi Tetap patuhi 3M vaksincovid19 vaksinasi vaksinuntukkita,1
Jadilah Pelopor VACCINE Covid-19 Vaksin VaksinSinovac vaksinuntukkita vaksincovid19,1
Vaksin Bisnis atau Solusi Pandemi lewat suaraislamID Vaksin Bisnis Pandemi Sinovac,2
Orang rentan lebih utama dapat Vaksin dibanding Atlet olimpiade merahputihcom kesehatan vaksin,0
Negara tidak boleh berbisnis dengan rakyat nya vaksin,2
Hei boleh aja anda nolak vaksin ,2
Kami siap di vaksin VaksinKitaDatangLagi VaksinYgInginHidupAja vaksincovid19 VaksinLolosUjiKlinis,1
Edukasi harusnya membebaskan dan ancaman bagian dari edukasi VaksinSinovac Vaksin,2
Pemerintah Harus Berani Berikan Jaminan Vaksin Covid-19 Aman,0
vakin telah dinyatakan aman dan efektif vaksin,1
vaksin corona dipastikan aman vaksin,1
Vaksin Sinovac Halal Dan Suci Jangan Mudah Terprovokasi Dengan Isu Negatif Tentang Vaksin,1
Semoga bisa berjalan sesuai rencana Vaksin Pandemi Indonesia Virus IndonesiaKuat IndonesiaMenang,1
Cek alur pelayanan Vaksinasinya Vaksin Pandemi Indonesia Virus IndonesiaKuat IndonesiaMenang,0
Oma dan opa disuntik dengan vaksin Pfizer atau AstraZeneca Semoga pandemi lekas berlalu,0
Kasian narapidana cape cape kriminal kalau nolak vaksin doang cukup buat syarat masuk penjara savenapi vaksin,2
Vaksin Covid Sinovac Dinyatakan Halal Dan Suci vaksin sinovac halal,1
Program vaksin Gratis Dimulai Hari Ini Kunjungi pandemi vaksinisasi,0
Roy Suryo Bagaimana Pak Jokowi Kok Ada Anggota Fraksi PDIP Tolak Vaksin Vaksin BioFarma Poliomielitis PDIP,2
Dukung perlambat pandemi dengan siap divaksin Covid19 VirusCorona SocialDistancing PhysicalDistancing,1
Profil Ribka Tjiptaning yang Tolak Vaksin Covid-19 Seorang Dokter dan Keturunan Ningrat,2
Menolak Vaksinasi Bisa Didenda hingga Dikurung ,2
Ribka Tjiptaning Tolak Disuntik Vaksin Pilih Bayar Denda news vaksin COVID19,2
Efikasi Sinovac Lampaui Standar WHO Satgas Minta Masyarakat Tak Ragu Divaksin Vaksin Vaksinasi BadanPOM,0
aku bingung mau percaya siapa jadinya,0
Alhamdulilah hirobbal allamin Pak Haji jokowi Sudah di Vaksinasi Saya Siiap di Vaksin mengikuti Pimpinan saya,1
Kementerian Agama menyerahkan sertifikat halal vaksin Sinovac kepada PT Bio Farma Vaksin halal Sinovac,0
Ribka Tjiptaning Protes Menkes Budi Gunadi Bukan Dokter Jokowi Ini Pembisiknya Siapa Vaksin ribka,2
Presidenku jokowi sehat sehat Pak Vaksin jokowidivaksin,1
Wamenag Siap Divaksin Ayo Ikut Vaksinasi Vaksin COVID19,1
Alhamdulillah Pak Jokowi udah di vaksin semoga bisa menekan laju Covid Aamiin BersatuLawanCovid19 JagaJarak,1
Vaksin Covid Sinovac Dinyatakan Halal BersatuLawanCovid19 vaksin,1
Ini orang artis rafi ahmad kok bisa duluan vaksin Buat endorse Vaksin VaksinasiDimulai,2
Yg nyuntik presiden ampe gemeteran vaksin covid presiden,0
Vaksinasi Covid-19 di Indonesia Dimulai Hari Ini,0
SAYA SIAP DIVAKSIN vaksinuntukkita Vaksin VaksinasiDimulai,1
ASLINYA MASYARAKAT YG TERBAWA ISU HOAX TENTANG VAKSINASI ITU PERLU DIPERTANYAKAN APAKAH MEREKA TAKUT DISUNTIK,0
Negara tidak boleh berbisnis dengan rakyat Ribka Tjiptaning Anggota DPR RI Fraksi PDI Perjuangan Vaksin,2
Benar Vaksin Sinovac kardusnya,0
Alhamdulilah hirobbal allamin Saya Mau di vaksinasi Pak Jokowidodo Sehat selalu Pak Jokowidodo,1
akuPSI Siap Di Vaksin Bismillah,1
Dilema Semoga sehat selalu my hubby vaksin,1
serius nanya vaksin ngaruh gak sih jokowi Vaksin,0
Terbaik Vaksin VaksinasiDimulai jokowidivaksin,1
Terbaik Vaksin VaksinasiDimulai jokowidivaksin,1
Semoga vaksin pak Jokowi sama buat rakyat sama ya ga dibedain biar sama smaa jokowidivaksin VaksinasiDimulai Vaksin,0
Yang terbaik bapak jokowidivaksin VaksinasiDimulai Vaksin,1
Proses vaksinasi virus Corona COVID-19 di Indonesia dimulai hari ini,0
Aku juga mau di vaksin Yuk vaksin yuk Vaksinuntuknegeri sayapercayapemerintah VaksinLolosUjiKlinis,1
Menurut data yang beredar dari Kementerian Kesehatan ada tiga kelompok yang akan menerima vaksinasi vaksin corona,1
Siap di vaksinasi yah Mbak,1
Sebentar Ini nyuntik ga pake handscoon Hah Melanggar SOP padahal guna pake handscoon ,2
Nyuntik Presiden nih Prof Gemeteran jokowidivaksin Vaksin,0
Mantan politisi Partai Demokrat Ferdinand Hutahaean mengapresiasi Presiden Joko Widodo yang akan menjadi orang pertama menerima vaksin,1
karena PAHLAWAN RAFFI AHMAD SUDAH BERJUANG di GARIS DEPAN MEMPERTARUHKAN NYAWA demi PROPAGANDA,2
Suntik Pertama Vaksin Covid-19 di Istana Merdeka Jakarta Pagi Ini Raffi Ahmad Sempatkan Berdoa RaffiAhmad Vaksin,0
Dari Tangsel Menkominfo Pastikan Sistem Informasi Data Vaksinasi Sudah Siap,0
Selain Indonesia ada juga negara-negara lain yang menggunakan Sinovac vaksin buatan China untuk melawan COVID-19,0
Mengawali tahun baru dengan harapan baru Mari kita dukung vaksin agar bisa terdistribusikan dengan baik,1
Proses vaksinasi virus Corona COVID-19 di Indonesia dimulai hari ini Inilah beberapa hoax vaksinasi Corona,0
IDI Terbitkan Maklumat Minta Seluruh Dokter Divaksin Covid-19 IDI Vaksin,0
Percaya jokowi Vaksinuntuknegeri VaksinasiDimulai Jokowi VaksinLolosUjiKlinis Vaksin,1
YANG PUNYA EMITEN FARMASI COBA LIHAT DONG PORTONYA VAKSIN,0
Semoga hadirnya vaksin ini jadi kabar baik untuk kita semua ya Sahabat Semoga setelah ini kita bebas dari pandemi,1
Nagita Slavina ajak sang buah hati Rafathar nonton bareng proses vaksinasi perdana COVID-19 Raffi Ahmad yang berla,0
Persiapan Disuntik Vaksin Covid-19 Presiden Jokowi Jalani Pemeriksaan Kesehatan,0
Mungkin dokternya belom sarapan jokowi vaksin jokowidivaksin,0
Presiden menjawab sejumlah pertanyaan dari petugas sebelum divaksin VaksinasiDimulai Vaksin,0
Raffi Ahmad Bismillah Vaksin Indonesia jokowi RaffiAhmad EfekSampingVaksin Vaksin TenagaKesehatan Vaksinasi,0
Vaksinasi sebagai upaya menangani pandemi Covid-19 akan dimulai di Indonesia mulai hari ini pagi,0
Keluarga Jokowi Tak Akan Disuntik Vaksin Covid-19 Hari Ini Istana Masih Bapak Presiden Dulu,0
Nice infoh Ayo dukung Vaksin utk Indonesia sehat,1
Tetap patuhi prokes dan siap menerima vaksinasi Vaksinasi Melawan Pandemi,1
Tetap patuhi prokes dan siap menerima vaksinasi Vaksinasi Melawan Pandemi,1
Enggak terasa sama sekali ujar Jokowi usai disuntik vaksin COVID-19 vivacoid jokowi,1
Suntik vaksin Kalau gagal tuh kan bener Kalau berhasil ah itu mah bohong,2
Artis Raffi Ahmad salah satu yang divaksin virus corona Covid-19 bersama Presiden Jokowi di Istana RaffiAhmad,0
Pemerintah Tunda Vaksinasi Covid-19 Perdana di Gunungkidul dan Bantul gunungkidul Vaksinasi TenagaKesehatan,0
yuks Kita lawan Covid-19 Vaksin Sinovac,2
Sebagai perwakilan generasi muda atau milenial RaffiAhmadLagi menerima vaksin sinovac setelah Presiden jokowi,0
PBNU Percayalah pemerintah tidak akan mencelakakan rakyatnya Percayalah vaksin merupakan sesuatu yang aman,1
Jangan Termakan Hoaks Vaksin Sinovac Sudah Bersertifikat Halal VaksinKitaDatangLagi VaksinLolosUjiKlinis,2
Mantul Vaksin Sinovac Sudah Bersertifikat Halal Sukseskan Indonesia Lawan Covid-19 VaksinKitaDatangLagi,1
RaffiAhmad Jokowi Vaksin Covid-19i Ahmad masuk dalam daftar orang yang divaksin pada tahap pertama,0
Apakah anak muda sudah merasa terwakili oleh Raffi Ahmad Vaksin,2
Bantu Indonesia lawan Covid-19 dengan persiapkan dirimu untuk program vaksinasi Covid-19 Hari ini perdana program,1
Kementerian Agama Sudah Berikan Sertifikat Hal Untuk Vaksin Sinovac VaksinKitaDatangLagi VaksinLolosUjiKlinis,0
Suntik Vaksin Covid-19 Ke Presiden Jokowi Tangan Dokter Senior Ini Gemetaran,0
Tahapan Vaksinasi Corona Jokowi Cek Tensi hingga Diberi Kartu HeruBudiHartono Vaksinasi Vaksin,0
